PName,Yseason,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,VHI,SMCI,EVI,GNDVI,SAVI,SR,EDI,TCI,albedo,Yield,CWP,ETa,LST
CP68,LS2022,0.50391113,0.4883722,0.47645557,0.50940557,0.5089722,0.55416665,0.59293335,0.5602778,0.61514443,0.21243333,0.10375555,0.53095557,0.39405,0.015859343,0.16281123,-0.35319084,0.107095905,0.10748082,0.07165936,0.06558651,0.010480108,0.33548027,1.9208755,6.848837,28.046957,39.27
CP69,LS2022,0.51066113,0.49245557,0.48066113,0.51535557,0.51201113,0.55568887,0.5946722,0.5569,0.61816665,0.21273333,0.10366111,0.5265722,0.4006611,0.014439252,0.14812174,-1.9732573,0.094432004,0.08199648,0.05466823,0.05482987,0.00530497,0.3672814,0.7587418,7.5611796,10.034763,39.27
CP70,LS2022,0.477,0.45734443,0.44373335,0.45951665,0.4577278,0.52476665,0.56845557,0.53193335,0.5892222,0.20088889,0.10365,0.45556665,0.3302611,0.07051275,0.23000357,0.6388871,0.122531965,0.17024435,0.113505706,0.10498315,0.0099432,0.2492782,4.2532227,5.329566,79.80532,39.27
CP71,LS2022,0.48501665,0.46879443,0.45884443,0.48178335,0.48218335,0.54095,0.58375557,0.5445,0.60614443,0.20040555,0.10357222,0.48986665,0.3607,0.04221041,0.19426604,-0.7984502,0.11419974,0.1378921,0.09193517,0.08266934,0.006347557,0.21923581,4.593281,5.0980854,90.10583,39.27
CP72,LS2022,0.47709443,0.45908335,0.44933335,0.47736113,0.4717722,0.50483887,0.53858887,0.50708335,0.56235557,0.19908334,0.1037,0.51019443,0.38949443,-0.019861748,0.11485532,0.20432945,0.07416137,0.0610975,0.040734615,0.046463512,0.008154473,0.41564652,0.70506256,7.5488,9.340062,37.79
CP73,LS2022,0.46908335,0.44981113,0.4404278,0.47375,0.47526113,0.51350557,0.5505,0.51281113,0.5725722,0.19315555,0.10365555,0.5239222,0.39833333,-0.020097513,0.113958135,0.09381326,0.0889866,0.075068,0.050048687,0.044671472,0.000207522,0.32432094,2.0301754,6.8028245,29.863604,38.4
CP74,LS2022,0.4829,0.45194443,0.4354,0.45885557,0.45655,0.49154443,0.52683887,0.49363335,0.55130557,0.19187778,0.10353334,0.48501665,0.36527222,-0.001006069,0.13962409,-0.5352036,0.07539737,0.07157294,0.047718685,0.04699665,0.004882031,0.36975485,0.7673982,7.5845847,10.118222,38.4
CP75,LS2022,0.50481665,0.48043335,0.46705,0.4949778,0.48741665,0.52356665,0.56049443,0.51860557,0.58351665,0.20063334,0.10342222,0.50021113,0.37852222,-0.002063653,0.13504118,-0.36947778,0.06701302,0.05539426,0.036932465,0.039597627,-0.002964067,0.2914595,3.3162832,5.9777255,55.477406,38.4
CP76,LS2022,0.51898335,0.49875,0.48688887,0.51211665,0.5050778,0.54565557,0.58468887,0.5491778,0.60963335,0.2062111,0.10355,0.51186665,0.38607778,0.023188366,0.16458625,-8.447378,0.0779186,0.084910475,0.05661171,0.059088442,0.008670468,0.37283286,1.0116788,7.4326944,13.621907,38.4
CP77,LS2022,0.52103335,0.50958335,0.49801665,0.52598335,0.51680557,0.55948335,0.59746113,0.5621778,0.61943335,0.20377222,0.10347222,0.51716113,0.3898111,0.02631908,0.16949238,0.42743802,0.07957876,0.08059014,0.05373098,0.056571078,0.005311012,0.30000204,3.1013352,6.1236243,50.645462,38.25
